icao,iata,name,lat,lon,tz,country
02UT,,Lucin Airport,41.366312,-113.843064,America/Denver,US
02WA,,Cawleys South Prairie Airport,47.152324,-122.094003,America/Los_Angeles,US
02WI,,Beer Airport,45.031911,-92.655756,America/Chicago,US
02WN,,Fowler Field,48.745833,-119.318611,America/Los_Angeles,US
02XA,,Jls Farms Airport,33.591319,-95.882864,America/Chicago,US
02XS,,Seidel Ranch Airport,30.147713,-97.662779,America/Chicago,US
03AZ,,Thompson International Aviation Airport,31.433432,-110.083966,America/Phoenix,US
03CO,,Blue Water Airport,38.097918,-106.089755,America/Denver,US
03FA,,Lake Persimmon Airstrip,27.353098,-81.408129,America/New_York,US
03FL,,Greens Farm Field,26.705478,-82.052369,America/New_York,US
03GA,,Hia Airport,32.562306,-81.857694,America/New_York,US
03IA,,Flatlander Airport,41.141411,-95.194381,America/Chicago,US
03ID,,Flying Y Ranch Airport,44.794329,-116.532646,America/Boise,US
03IL,,Wix Airport,41.402255,-87.816713,America/Chicago,US
03KY,,Flying H Farms Airport,37.795904,-87.53879,America/Chicago,US
03MA,,Hadley Airport,42.393145,-72.552032,America/New_York,US
03ME,,Maple Ridge Airport,44.084237,-70.627283,America/New_York,US
03MN,,Nauerth Land Ranch Airport,43.625238,-95.224722,America/Chicago,US
03MO,,Dorton Airport,39.288831,-93.992422,America/Chicago,US
03MU,,Mc Donnell Airport,38.491944,-94.412356,America/Chicago,US
03NC,,Pilots Ridge Airport,34.104338,-77.904167,America/New_York,US
03ND,,Olafson Brothers Airport,48.626383,-97.828983,America/Chicago,US
03NV,,Llama Ranch Airport,40.584444,-115.297778,America/Los_Angeles,US
03NY,,Talmage Field,40.958432,-72.716765,America/New_York,US
03OH,,Gibbs Field,41.418385,-83.017416,America/New_York,US
03OK,,Sahoma Lake Airport,36.041197,-96.161389,America/Chicago,US
03OL,,Bluebird Airport,35.012334,-97.702735,America/Chicago,US
03OR,,Powwatka Ridge Airport,45.855422,-117.484344,America/Los_Angeles,US
03PR,,Sun View Field,39.065947,-94.921703,America/Chicago,US
03TE,,Barronena Ranch Airport,27.491144,-98.669461,America/Chicago,US
03TT,,Brazos Polo Airport,29.632117,-95.932481,America/Chicago,US
03UT,,A Z Minerals Corporation Airport,37.120834,-109.985957,America/Denver,US
03WA,,Spangle Field,47.408227,-117.371864,America/Los_Angeles,US
03WN,,Aerostone Airfield,45.875454,-120.672326,America/Los_Angeles,US
03XS,,Creekside Airport,31.318056,-100.754167,America/Chicago,US
04AA,,Flying W Ranch Airport,60.535833,-150.811389,America/Anchorage,US
04AN,,North 40 Airport,61.737511,-148.700724,America/Anchorage,US
04AZ,,White Hills Airport,35.721776,-114.450539,America/Denver,US
04CA,,Gray Butte Field,34.566645,-117.670772,America/Los_Angeles,US
04CL,,Desert Wings Sky Ranch Airport,33.081711,-116.441404,America/Los_Angeles,US
04FA,,Richards Field,25.558719,-80.515057,America/New_York,US
04FL,,Cross Creek Farms Airport,29.239425,-81.222005,America/New_York,US
04IA,,Middlekoop Airport,41.08835,-92.05462,America/Chicago,US
04ID,,Lanham Field,43.877664,-116.537081,America/Boise,US
04IL,,Full Throttle Airport,40.637535,-89.007019,America/Chicago,US
04IS,,Van Gorder Airport,40.178645,-88.568952,America/Chicago,US
04KS,,Kraemer Airfield,37.398547,-100.037094,America/Chicago,US
04KY,,Natchez Trace Farm Airport,37.135054,-85.789416,America/Chicago,US
04MA,,Goddard Airport,42.809811,-71.139225,America/New_York,US
04ME,,Beech Hill Airport,44.666729,-69.893944,America/New_York,US
04MI,,Rapids Airway Airport,42.534481,-84.628313,America/Detroit,US
04MN,,Helblad Airport,47.985792,-94.686918,America/Chicago,US
04MS,,Nicks Flying Service Inc Airport,32.939572,-90.837322,America/Chicago,US
04MT,,Pluhar Airport,47.137498,-106.488095,America/Denver,US
04NE,,Mc Connell Field,41.159993,-101.299053,America/Denver,US
04NJ,,Emmanuel Airport,39.596781,-75.233519,America/New_York,US
04NV,,Kingston Ranch Airport,35.755531,-115.664728,America/Los_Angeles,US
04NY,,Klaverack Airport,42.262309,-73.696233,America/New_York,US
04OR,,Collins Landing Strip,44.749855,-120.201129,America/Los_Angeles,US
04TN,,Hensley Airpark,36.183333,-82.678889,America/New_York,US
04TT,,Brushy Creek Ranch Airport,29.713696,-99.545623,America/Chicago,US
04TX,,Pocock Airport,31.732222,-97.368889,America/Chicago,US
04UT,,Navajo Mountain Airport,37.00833,-110.795137,America/Denver,US
04VT,,Lightning Bolt Field,44.401111,-72.263611,America/New_York,US
04WA,,Ox Meadows Airport,47.581836,-117.437152,America/Los_Angeles,US
04WI,,Dutch Gap Airstrip,42.523353,-88.016748,America/Chicago,US
04WN,,Stillwater Creek Airport,46.958358,-119.638819,America/Los_Angeles,US
04XA,,Pecan Field,33.283933,-98.402861,America/Chicago,US
05AK,,Wasilla Creek Airpark,61.668654,-149.187333,America/Anchorage,US
05AN,,Weltons Aerodrome,64.960472,-147.601092,America/Anchorage,US
05AR,,Ozark Skies Airpark,36.000633,-93.57025,America/Chicago,US
05CL,,Pope Valley Airport,38.610739,-122.391368,America/Los_Angeles,US
05CO,,Rancho De Aereo Airport,40.214984,-104.984423,America/Denver,US
05FA,,Melanie's Airport,30.918889,-86.218333,America/Chicago,US
05FL,,Charlton Strip,26.520222,-81.410222,America/New_York,US
05GA,,Ark Airport,32.071389,-84.714444,America/New_York,US
05IA,,Spotts Field,43.137871,-93.068342,America/Chicago,US
05ID,,Running Creek Ranch Airport,45.914084,-114.835661,America/Los_Angeles,US
05IL,,Classic Landings Airport,41.16,-88.016667,America/Chicago,US
05IN,,Cooper Airport,39.641991,-86.504164,America/Indiana/Indianapolis,US
05KS,,Darbro Field,37.266339,-95.958975,America/Chicago,US
05KT,,High Point Farm Airport,38.188203,-84.927503,America/New_York,US
05KY,,Cartersville Airport,37.535556,-84.407222,America/New_York,US
05LA,,Greg's Flying Service Airport,32.265421,-91.697921,America/Chicago,US
05LS,,Grass Roots Airport,31.252222,-92.475833,America/Chicago,US
05MD,,Breezecroft Airport,39.244219,-76.198671,America/New_York,US
05ME,,Drisko Kelley Airport,44.657022,-67.55916,America/New_York,US
05MO,,Jetsetter Outdoors Airport,40.172019,-92.212508,America/Chicago,US
05MT,,Jones Landing Airport,45.816628,-111.152142,America/Denver,US
05NC,,Dead Cow Field,34.759444,-76.644722,America/New_York,US
05NE,,Mc Kay Airport,41.722233,-98.308958,America/Chicago,US
05NR,,Fox Field,36.168415,-79.276908,America/New_York,US
05NV,,Baker Ranches Airport,39.025833,-114.095,America/Los_Angeles,US
05OH,,Eaglecrest Field,40.184667,-81.920625,America/New_York,US
05OK,,Muncy Airport,35.471364,-98.541708,America/Chicago,US
05OR,,6 Ranch Airport,45.44425,-117.347306,America/Los_Angeles,US
05PS,,Mills Brothers Airport,40.142778,-77.861944,America/New_York,US
05TA,,Brandes Air Field,29.809081,-96.263964,America/Chicago,US
05TE,,Hilde-Griff Field,30.722133,-97.791403,America/Chicago,US
05TS,,Dew Drop Airport,33.129287,-97.358631,America/Chicago,US
05TX,,Circle 'A' Ranch Airport,32.129167,-97.404167,America/Chicago,US
05UT,,Sand Cove Ranch Airport,37.288084,-113.696944,America/Denver,US
05VA,,Providence Airport,37.224167,-78.418611,America/New_York,US
05WI,,Ames Private Airport,42.651124,-88.745939,America/Chicago,US
05WN,,Flat Creek Field,48.702222,-118.0475,America/Los_Angeles,US
05XS,,Johnson Memorial Airport,33.0785,-91.561833,America/Chicago,US
